Date,Close,High,Low,Open,Volume,log_return,pct_return,overnight_gap,intraday_range
2016-05-02,355.7259216308594,356.98377616461056,344.40540799386815,346.09864986300653,966084,,,,0.03535971770928495
2016-05-03,348.4208068847656,357.0321454077402,345.80836474139585,355.19377441282575,963168,-0.020749586831750582,-0.020535795402828017,-0.0014959472607280037,0.032213290494033035
2016-05-04,348.3724060058594,352.2426731111723,345.6632308432582,346.3889059255044,1040577,-0.00013892465680978908,-0.0001389150072265144,-0.0058317440265077325,0.018886232533019357
2016-05-05,347.5499572753906,352.6780487798661,341.74455729547515,347.066173943731,1448922,-0.0023636231762685657,-0.002360832018523662,-0.0037495279178524597,0.03145876227436139
2016-05-06,353.5973205566406,356.16136682833013,342.3251430231008,346.0019148052682,1508866,0.017250336507808686,0.01739998280724353,-0.00445415813674174,0.03912988872044633
2016-05-09,353.6456604003906,357.5642940738734,342.7121675260793,342.7121675260793,4231513,0.00013669939505058017,0.00013670873883864232,-0.030784037088928313,0.0419971972255471
2016-05-10,359.7897644042969,360.56380612766424,349.2916574372572,350.9365330091616,1693745,0.017224420578522887,0.01737361628289169,-0.007660570154209677,0.031329820371822754
2016-05-11,359.9348449707031,362.01510765838873,355.04864450466505,355.58079442670265,3445883,0.0004031557806458456,0.00040323705885980665,-0.011698415002336168,0.019354789487777198
2016-05-12,361.8700256347656,366.1757102107908,358.5803040345548,359.9348918078417,1198216,0.005362073268090917,0.0053764749123415,1.301267139100647e-07,0.020989321132394698
2016-05-13,352.87164306640625,372.36810924692867,351.8556801541754,362.9343324310826,2542678,-0.02518072871292869,-0.024866338549525024,0.0029411300216149986,0.058130001363960786
2016-05-16,353.0167541503906,357.0321504792184,351.7105330601515,354.12945006881824,2146484,0.0004111445565634302,0.0004112290880711189,0.003564488751438974,0.01507468797585686
2016-05-17,352.9200134277344,359.354327163832,351.46866313262376,355.0970388704003,1457307,-0.00027407758797922684,-0.00027404003214825945,0.005892878158194833,0.022344054548277856
2016-05-18,353.40380859375,356.7902927281186,350.3559787783779,352.2911125694457,1500718,0.0013698964316088255,0.001370835168333917,-0.0017819926169118667,0.01820669102391349
2016-05-19,352.14599609375,356.3548886183148,351.03327050166564,353.88760475717,1203562,-0.003565485594802432,-0.003559136798794049,0.0013689613740867235,0.01511196542252444
2016-05-20,354.1778869628906,357.46763837049343,352.0008612225778,355.0487208812569,1829681,0.005753441226792265,0.0057700240572937656,0.008242958374384317,0.015435117067284433
2016-05-23,350.8397216796875,356.8870140778902,349.29160892018865,354.5164636466768,791265,-0.00946980667914602,-0.009425109263111242,0.0009559509394827388,0.021649216688856263
2016-05-24,350.8397216796875,355.58079301431945,347.066217128768,353.06511347110813,2006771,0.0,0.0,0.006343043999597031,0.024269133052514345
2016-05-25,352.72650146484375,354.51650613479933,347.01786266232995,351.37191371086055,1152110,0.005363487461929916,0.005377896710563546,0.001516909284459354,0.021259087256920422
2016-05-26,350.1624755859375,355.04870643202366,347.3565373181752,351.46869688252684,1578440,-0.0072957105194299335,-0.007269161427502779,-0.0035659486233479767,0.021967428408703527
2016-05-27,348.7594909667969,352.09757895988963,347.45326978350073,352.09757895988963,804692,-0.0040147157214000685,-0.004006667524248497,0.005526301385418481,0.013316653156920268
2016-05-30,351.7588806152344,353.7424101720263,342.7605216394861,349.38835979128476,2101717,0.008563395620439168,0.0086001663786206,0.0018031590272843694,0.031219932566684983
2016-05-31,348.8078308105469,369.56215044659217,343.8248677045267,360.4186323909257,27065544,-0.008424800126303408,-0.008389410949699583,0.024618431126870892,0.0737864246976856
2016-06-01,347.598388671875,352.43622289138614,344.84081726119433,347.35649696089945,1519865,-0.003473384702116639,-0.0034673594794629725,-0.004160840788106361,0.02185109562565233
2016-06-02,346.43731689453125,351.2267848628716,343.09922880466235,347.1146255359647,1144323,-0.0033458591573679282,-0.0033402680080883984,-0.001391730087583794,0.023460394310476713
2016-06-03,343.8248596191406,349.9205184943758,341.7445969571346,347.74349324924975,1126862,-0.007569499932549182,-0.007540923416705536,0.0037703107922295574,0.023779320513059428
2016-06-06,341.5511169433594,345.4697510915051,340.29329177989985,343.38948815449197,908115,-0.006635047317401537,-0.006613083993693536,-0.0012662594122220263,0.015155738203788901
2016-06-07,348.9046325683594,350.0656951400755,342.4703185423949,342.80894333760466,1181754,0.021301274352216636,0.021529766000500272,0.0036826885694356396,0.02176920536070108
2016-06-08,350.3075256347656,353.645642691535,345.9051087885739,350.017267424522,1176799,0.00401278762804698,0.00402084964042837,0.0031889368965160843,0.022096396270491356
2016-06-09,352.8232421875,354.56488021562046,349.7754125480349,351.22676280757037,394763,0.007155787807015823,0.007181451635033698,0.0026240862828712064,0.013574694336719137
2016-06-10,350.25921630859375,354.7583964688765,348.9046285599213,352.3878752906493,422023,-0.007293702793143841,-0.007267168293702331,-0.0012339518625571657,0.01671267346123957
2016-06-13,352.3878173828125,355.0969924349591,346.6307834872591,348.3240252767991,603739,0.006058824655284651,0.006077216458862278,-0.005525025300375453,0.024025260040425246
2016-06-14,355.1453857421875,356.88702371658445,351.8072979649025,352.8716273612902,452856,0.007794919898734025,0.007825379378479935,0.0013729475158108014,0.014303228918675897
2016-06-15,354.9519348144531,357.903002145141,352.4362548863687,356.1129974158617,736622,-0.0005448575200045244,-0.0005447091121009162,0.0027245508811892826,0.015401373320108677
2016-06-16,359.4510498046875,360.4669830872305,352.6780825136167,354.12943264741756,850822,0.012595620591918195,0.012675279520834914,-0.002317221252690224,0.021668876966268517
