Date,Close,High,Low,Open,Volume,log_return,pct_return,overnight_gap,intraday_range
2016-05-02,216.2640380859375,217.45825688026346,214.30287932340727,214.52199667013636,10620873,,,,0.014590394153291138
2016-05-03,213.82081604003906,218.0170304350802,213.15249347547459,216.49412092562375,17571826,-0.011361703649965246,-0.011297403246154025,0.0010638978247267277,0.022750530325797144
2016-05-04,214.3247833251953,215.5518696772571,213.20725564254516,213.43732884830962,13546285,0.002354187541157192,0.002356960816489728,-0.0017934979336045262,0.010939537641591536
2016-05-05,213.70030212402344,215.49710833436652,212.74711236590912,214.74113882498472,21665684,-0.002917967500029256,-0.0029137143707004265,0.0019426381463205171,0.012868470194587775
2016-05-06,212.31979370117188,214.039908632438,211.89250027816306,213.2072481468575,14748329,-0.0064809771581607065,-0.006460020922433585,-0.002307221713143826,0.010114028074543535
2016-05-09,215.42039489746094,216.0558497944642,213.1634278441311,213.64550060707418,15347096,0.014497845129907056,0.014603448610415404,0.0062439157593011125,0.013426871451562794
2016-05-10,215.29989624023438,215.77101317120005,214.30288304067054,215.4204107830258,7248302,-0.0005595216331783462,-0.0005593651301396552,7.374215830910321e-08,0.00681900064127926
2016-05-11,213.733154296875,214.9054613274706,212.54987677188865,212.94430261355078,12339923,-0.0073036280349455494,-0.007277021358204405,-0.0109409882114165,0.011021147202600298
2016-05-12,217.5458984375,217.85267734265813,213.65646323798853,213.86462471223183,12786216,0.01768156116030443,0.01783880537003224,0.0006151147480573736,0.019288867934575873
2016-05-13,214.3357391357422,217.0528672730645,213.64550489130477,216.7022649037138,14648291,-0.01486619547439033,-0.014756239142242777,-0.0038779565132944834,0.01589731323156419
2016-05-16,213.85366821289062,215.2889306761971,212.79091985603353,214.0837414205846,9327335,-0.0022516723592610854,-0.0022491392466575943,-0.001175714867589076,0.011680935104076981
2016-05-17,212.3636474609375,215.42042243005707,211.75010421895527,214.79592331995602,12157600,-0.006991864324936817,-0.006967478109703551,0.004406074092343277,0.01728317560460495
2016-05-18,212.67041015625,213.09768898025803,211.25705939486033,211.65148524434775,8228838,0.0014434737314789896,0.0014445160411409308,-0.003353503413152397,0.008654845702537429
2016-05-19,208.43035888671875,212.9662196095892,207.20327249048017,212.9223961402468,9134784,-0.020138621827946422,-0.01993719420776996,0.001184866215340762,0.02764926928059054
2016-05-20,204.7052764892578,209.1534905969558,204.080777378384,208.60568256300877,18544619,-0.018033706280394,-0.017872072078931156,0.0008411618980386057,0.024780568950493093
2016-05-23,203.78494262695312,206.12957140948686,202.83175289943375,205.39549903205173,18365734,-0.0045060340564655145,-0.004495897116520986,0.003371786768916721,0.016182837002290507
