Date,Close,High,Low,Open,Volume,log_return,pct_return,overnight_gap,intraday_range
2016-05-02,460.3847351074219,467.41054222583756,457.11581254987203,462.873055443995,9439328,,,,0.022361144692522116
2016-05-03,459.1650085449219,463.50735249577434,455.0178374962755,462.4339610920486,8097969,-0.0026528793820363517,-0.0026493636071912574,0.004451116269414499,0.018489028653123706
2016-05-04,451.2610168457031,458.62833240131926,449.11423401639826,454.7251125510952,8777977,-0.017363717786432184,-0.01721383718734626,-0.009669499877389492,0.021083359806757018
2016-05-05,449.8948974609375,455.993678902384,447.3578282046608,451.7977291823513,8736141,-0.0030319291247878147,-0.0030273374693757793,0.00118936118258071,0.01919526259680018
2016-05-06,450.2852478027344,452.8223170844005,447.89451354207984,449.8461236228732,4804806,0.0008672716640504561,0.0008676478528648612,-0.0001084116275591078,0.010943737478336109
2016-05-09,465.55657958984375,466.43479814934653,450.4803801647568,454.52996502966835,10228014,0.033352369223032946,0.03391479481424087,0.009426729495685236,0.03426955752326731
2016-05-10,476.14404296875,477.1686262668438,466.5811364766568,467.4105766499349,12131886,0.02248678455888037,0.02274151809482272,0.003982323827803132,0.02223589677647576
2016-05-11,486.14605712890625,487.2682269097168,468.63034567557594,470.9234933541397,21878712,0.02078868808975302,0.021006278053577798,-0.010964223309526844,0.038338028172465184
2016-05-12,480.6326904296875,494.6354966669179,478.729888746776,486.5363279280387,13528266,-0.011405766796587806,-0.011340967633841847,0.0008027850754098945,0.033093063033066326
2016-05-13,478.7786560058594,484.1943909301161,474.72907173008645,481.7548787423973,7426191,-0.003864946435437512,-0.003857487142979399,0.0023348147869562404,0.0197697183892714
2016-05-16,474.6803283691406,481.7061061198601,465.7029109452613,480.09603391318717,5809867,-0.008596810024288947,-0.008559963117212521,0.0027515385049071053,0.033713626241013636
2016-05-17,491.17144775390625,493.2694225269137,478.43717476476854,478.8275205841974,8982435,0.03415166304043893,0.03474152687435805,0.008736810790759452,0.030197699459062602
2016-05-18,488.9758605957031,490.82988402285133,483.26739575013346,486.4387617999829,8241793,-0.004480124185200686,-0.004470103399217162,-0.009635507062891386,0.015465974666939063
2016-05-19,478.6323547363281,489.61016103762006,477.16864722948924,489.61016103762006,5989236,-0.021380347356386196,-0.021153407955095904,0.0012972019541909235,0.025993883792048863
2016-05-20,478.72991943359375,483.70653068649233,476.2904070330752,481.9988720061294,5012902,0.00020381980831237414,0.00020384058098077418,0.007033618259375334,0.015491247470372138
2016-05-23,474.7291259765625,483.41378440138215,473.26541849667586,483.41378440138215,4700955,-0.008392215601388727,-0.008357099263327394,0.009783940333894485,0.021377171421345043
2016-05-24,477.1198425292969,479.07145243058585,470.33798621063625,471.55774239894185,4838908,0.005023321260125808,0.005035959291135539,-0.006680406581535967,0.01830455462437268
