Date,Close,High,Low,Open,Volume,log_return,pct_return,overnight_gap,intraday_range
2016-05-02,276.00323486328125,281.24661779134095,275.22229052048925,278.9038301574686,5021166,,,,0.021827016896507977
2016-05-03,270.8713684082031,277.9926981879268,269.99745625275375,277.7881732825232,6999808,-0.018768533292678455,-0.018593501114652522,0.006467092387979119,0.029516748049665503
2016-05-04,274.1067199707031,275.3710932861657,270.0719196476406,270.3508235233524,6404110,0.011873466626191221,0.011944236046477652,-0.0019217419984612792,0.019332519972846764
2016-05-05,274.78155517578125,277.3685146583213,272.00711098271347,276.24374369629766,5077866,0.002458917691102004,0.0024619433086143783,0.007796320082276491,0.019511512234429592
2016-05-06,270.9197692871094,274.80024206352505,270.3199007135522,274.80024206352505,6136478,-0.014153714436346627,-0.014054021516114679,6.800633955158708e-05,0.01653752091167904
2016-05-09,270.469970703125,274.81907653997854,269.2889518756338,271.4447631854631,7384902,-0.0016616446683529627,-0.0016602649011844273,0.0019378205574852724,0.02044635361910375
2016-05-10,269.49505615234375,271.51965257333165,268.4827579418498,271.25720149897865,5401936,-0.0036110324249314383,-0.0036045204879744386,0.0029106033243066773,0.011268832441086122
2016-05-11,265.7271423339844,268.74527320107296,264.8460808920009,266.5707205636161,8421688,-0.014080044053274825,-0.013981383822601168,-0.010851165993466555,0.014673669670414403
2016-05-12,267.9579772949219,269.5326614370624,266.0083694467253,266.5707550058093,3558646,0.008360165468612383,0.008395209241115476,0.003174732789489066,0.013152405559690432
2016-05-13,271.1261291503906,272.5695764886999,267.320643791531,269.19526261194846,7150908,0.011753966746071499,0.011823316056688293,0.00461746028059019,0.019359744904030998
2016-05-16,269.5514221191406,272.04465121071786,268.50164024460656,272.0259096007943,3233028,-0.005824956039136206,-0.0058080238750302104,0.0033186784808357,0.013144100440120475
2016-05-17,274.5566101074219,277.06860337507834,269.94505335596267,269.94505335596267,7834720,0.018398291801799124,0.018568583125742055,0.001460319644123644,0.025945651122107526
2016-05-18,278.28704833984375,279.168109666191,272.5694633116422,274.4440813536755,4249196,0.013495659378027979,0.01358713684206081,-0.0004098562904836847,0.02371165454488039
2016-05-19,273.7317810058594,278.94322952814247,272.7569885507038,276.6936873545284,3490682,-0.01650440345200297,-0.016368951990972658,-0.005725602376469785,0.022599644640116715
2016-05-20,276.1875305175781,277.4435156580255,273.31935529013595,273.31935529013595,3846760,0.008931367874141585,0.00897137154734029,-0.0015066782315444822,0.014932464040504754
