feature,mean_abs_shap,importance_pct,cumulative_pct,rank
nifty_50_return_1d,0.005084006313351786,11.604375802612074,11.604375802612074,1
overnight_gap,0.003987580598007392,9.101755771026026,20.7061315736381,2
nifty_it_return_1d,0.0014357859304594959,3.277218493100277,23.983350066738378,3
return_lag_1,0.0014108618425067842,3.2203286182035757,27.203678684941956,4
close_to_ma_10,0.0013261020392598378,3.0268621767379345,30.23054086167989,5
close_to_ma_5,0.0012618767376047257,2.8802662658546754,33.110807127534564,6
nifty_it_trend,0.001235499450957322,2.8200594273804933,35.930866554915056,7
nifty_50_close_to_ma20,0.001110313680421145,2.5343196707979287,38.46518622571298,8
return_lag_5,0.0010811608282898881,2.467777532374413,40.932963758087396,9
usd_inr_return_1d,0.00096955742426101,2.213039878370984,43.14600363645838,10
close_to_ema_9,0.0009267047385809632,2.11522751581028,45.261231152268664,11
candle_body,0.0008999421265428664,2.0541411621733903,47.31537231444205,12
nifty_50_close_to_ma50,0.0007968816055151702,1.8189028594046586,49.13427517384671,13
nifty_it_close_to_ma50,0.0007903147884923376,1.8039139298355096,50.93818910368222,14
ma_20_50_cross,0.0007708456031754563,1.7594750111830193,52.69766411486524,15
dist_to_52w_high,0.000653646647404559,1.4919653657155318,54.18962948058077,16
nifty_50_return_5d,0.0006166667363793489,1.4075577630820135,55.59718724366278,17
vol_regime,0.0005921309365986476,1.3515541659729469,56.94874140963573,18
nifty_it_close_to_ma20,0.0005611794259987313,1.2809065431097164,58.229647952745445,19
upper_wick_ratio,0.0005587156348716864,1.2752828761873753,59.50493082893282,20
close_to_ma_200,0.0005539687236430781,1.2644479286276638,60.76937875756048,21
usd_inr_trend,0.0005189226902060633,1.1844544515688387,61.95383320912932,22
return_lag_4,0.0005180433481771841,1.1824473306619767,63.1362805397913,23
williams_r_14,0.0005075557783621362,1.1585091815156372,64.29478972130694,24
atr_14,0.000506552724631292,1.1562196854518028,65.45100940675874,25
macd_histogram,0.0005006030470401181,1.1426393925849272,66.59364879934367,26
dist_to_52w_low,0.00045209471950086655,1.031917881314703,67.62556668065837,27
rsi_9,0.0004359512560517269,0.995070008776157,68.62063668943452,28
volume_ratio_20,0.00043562021031374884,0.9943143883235898,69.6149510777581,29
nifty_50_trend,0.0004345076775071655,0.991775003439975,70.60672608119808,30
macd_line,0.0004322854532845707,0.9867027192201594,71.59342880041824,31
macd_signal,0.0004199349891698027,0.9585124656895819,72.55194126610782,32
log_return,0.0004185239853560838,0.9552918130184176,73.50723307912624,33
atr_21,0.0004132331108891296,0.9432152553088534,74.4504483344351,34
volume_ratio_lag_1,0.0003947773302697449,0.9010894590690945,75.35153779350419,35
close_to_ma_20,0.0003897349475191397,0.8895800901241818,76.24111788362838,36
usd_inr_close_to_ma50,0.0003805555448612083,0.8686278663225744,77.10974574995095,37
ma_5_20_cross,0.00037903342266326195,0.8651535830676382,77.97489933301858,38
volume_ratio_lag_2,0.0003752216202814511,0.856453045617939,78.83135237863652,39
roc_20,0.00036200757535815843,0.8262916465732963,79.65764402520982,40
adx,0.00035673334687045155,0.8142530837415671,80.47189710895138,41
close_to_ma_50,0.00035110539480197897,0.8014071376950156,81.2733042466464,42
atr_14_pct,0.00035091937587351693,0.8009825446832793,82.07428679132968,43
ema_9_21_cross,0.0003465901241151096,0.7911009156584018,82.86538770698809,44
hist_vol_30,0.000344823858039379,0.7870693676927051,83.6524570746808,45
gap_up,0.0003307990433480189,0.7550573656987027,84.4075144403795,46
close_to_ema_21,0.00032172864164941944,0.7343539394038197,85.14186837978332,47
hist_vol_20,0.00031492680061423136,0.7188285614524472,85.86069694123576,48
rsi_21,0.0003085918920400376,0.7043689689108186,86.56506591014657,49
intraday_range,0.00030824222693003517,0.7035708492604017,87.26863675940697,50
nifty_it_return_5d,0.0003058881936250625,0.6981977074035502,87.96683446681052,51
return_lag_2,0.00030152091405427547,0.6882292789141152,88.65506374572465,52
atr_21_pct,0.0002842500765575026,0.6488081459756974,89.30387189170034,53
roc_10,0.000280096363587413,0.6393271887718254,89.94319908047217,54
obv_signal,0.00027778698131429027,0.6340559640491442,90.57725504452131,55
bb_pct_b_20,0.0002766710710777823,0.6315088700944392,91.20876391461574,56
close_to_ema_55,0.00027515597943303003,0.6280506342588681,91.83681454887461,57
williams_r_21,0.00027242155542006857,0.6218092407801155,92.45862378965472,58
rsi_14_lag_3,0.00024552249816199784,0.5604114474023097,93.01903523705704,59
return_lag_10,0.000243822096531962,0.5565302367361292,93.57556547379316,60
usd_inr_close_to_ma20,0.00024302147689281612,0.5547028017183557,94.13026827551151,61
usd_inr_return_5d,0.00024176378405531398,0.5518320853126151,94.68210036082412,62
bb_bandwidth_20,0.0002386765625842251,0.544785422517897,95.22688578334201,63
pct_return,0.00023559444004648034,0.5377503981703149,95.76463618151233,64
rsi_14,0.00022608371581307193,0.5160419243099197,96.28067810582225,65
volume_ratio_10,0.0002197397723399772,0.5015617093780494,96.7822398152003,66
return_lag_3,0.0002098766335319006,0.47904884014307997,97.26128865534338,67
roc_5,0.00018333973782725047,0.4184776898707545,97.67976634521413,68
minus_di,0.00017932817857727314,0.4093212022068966,98.08908754742103,69
plus_di,0.00017300581677906328,0.39489024800571343,98.48397779542674,70
lower_wick_ratio,0.00015720498624473617,0.35882444395032187,98.84280223937706,71
rsi_14_lag_1,0.00015212368635273812,0.34722624562439514,99.19002848500146,72
hist_vol_10,0.0001397677175424718,0.3190234274840781,99.50905191248555,73
rsi_14_lag_2,0.00010761083247805465,0.24562450625361204,99.75467641873915,74
gap_down,3.8681728617869995e-05,0.08829204527098265,99.84296846401014,75
is_it,3.0191640041544456e-05,0.06891319867545365,99.9118816626856,76
is_finance,2.1304723922319556e-05,0.04862858295754221,99.96051024564315,77
is_pharma,1.0250963562062647e-05,0.02339808925898687,99.98390833490214,78
is_banking,4.557059165875466e-06,0.010401605319937706,99.99430994022208,79
is_energy,2.492878576699754e-06,0.005690059777922028,100.0,80
is_consumer,0.0,0.0,100.0,81
is_auto,0.0,0.0,100.0,82
