round,test_start,test_end,strategy_return,market_return,alpha,sharpe,sortino,max_drawdown,win_rate
1,2020-05-31,2021-05-31,2.4484374406657627,57.035081343651875,-54.58664390298611,0.7627212213966768,0.350797132522163,-1.7150615856242941,66.66666666666666
2,2021-05-31,2022-05-31,-10.23885303169616,6.164095727655816,-16.402948759351975,-0.9496359615735046,-0.724879043507655,-14.83135517656018,51.02040816326531
3,2022-05-31,2023-05-31,-1.0126135667965053,-0.9836022820226664,-0.029011284773838852,-0.05246767051145294,-0.06396327539085442,-10.527646680265319,48.529411764705884
4,2023-05-31,2024-05-31,9.902107293483354,13.601947064786902,-3.699839771303548,2.0075505079686407,2.332315455284045,-1.6368005037212383,64.28571428571429
5,2024-05-31,2025-05-31,-3.513924055364692,-7.327892753523601,3.813968698158909,-0.5034571960102397,-0.4087317832256676,-9.993769645043047,54.83870967741935
