round,train_start,train_end,test_start,test_end,train_rows,test_rows,accuracy,precision,recall,f1,up_pct
1,2017-04-28,2020-04-29,2020-04-30,2021-04-29,738,250,0.472,0.5072463768115942,0.2631578947368421,0.3465346534653465,0.532
2,2017-04-28,2021-04-29,2021-04-30,2022-04-29,988,249,0.5582329317269076,0.5847953216374269,0.7194244604316546,0.6451612903225806,0.5582329317269076
3,2017-04-28,2022-04-29,2022-05-02,2023-04-28,1237,247,0.5425101214574899,0.51931330472103,0.9918032786885246,0.6816901408450704,0.4939271255060729
4,2017-04-28,2023-04-28,2023-05-02,2024-04-29,1484,245,0.5469387755102041,0.55,0.616,0.5811320754716981,0.5102040816326531
5,2017-04-28,2024-04-29,2024-04-30,2025-04-29,1729,246,0.4959349593495935,0.47023809523809523,0.6929824561403509,0.5602836879432624,0.4634146341463415
